Zone	Org District	AC	Org Mandal	LBName	2020 LSG		2024 GE		2025 LSG	
Alappuzha	Kottayam West	Kottayam	Kottayam	Kottayam	17.88%	13394	23.20%	NA	39%	37434
Alappuzha	Kottayam East	Changanassery	Changanassery	Changanassery	16.28%	4734	16.30%	3979	39%	14443
Alappuzha	Idukki North	Devikulam	Devikulam	Chinnakkanal Grampanchayat	6.05%	457	7%	499	25%	2422
Alappuzha	Idukki North	Thodupuzha	Thodupuzha	Thodupuzha	16.39%	5360	NA	NA	39%	14799
Thiruvananthapuram	Thiruvananthapuram North	Attingal	Kilimanoor	Pazhayakunnummel Gramapanchayath	11.10%	1701	30.10%	4329	31.10%	6263
Alappuzha	Idukki North	Thodupuzha	Thodupuzha	Manakkad Gramapanchayath	1.16%	115	NA	NA	39%	4606
Alappuzha	Idukki South	Peerumade	Peermade	Vandiperiyar Grampanchayat	2.45%	576	10.10%	2268	25%	8067
Alappuzha	Idukki North	Thodupuzha	Thodupuzha	Kumaramangalam Gramapanchayath	10.17%	991	NA	NA	39%	4722
Alappuzha	Idukki North	Devikulam	Adimali	Mankulam Gramapanchayath	3.61%	218	NA	NA	39%	3142
Ernakulam 	Ernakulam North	Aluva	Aluva	Aluva	11.69%	1565	15.30%	1825	39%	6768
Palakkad 	Malappuram West	Tanur	Tanur	Tavanur	14.14%	5700	16.70%	6546	39%	18353
Thiruvananthapuram	Thiruvananthapuram North	Vamanapuram	Palode	Peringamala Gramapanchayath	10.63%	1935	21.10%	3669	22.10%	5601
Thiruvananthapuram	Thiruvananthapuram North	Vamanapuram	Palode	Nanniyode Gramapanchayath	17.45%	3054	34.20%	5256	35.20%	7828
Thiruvananthapuram	Thiruvananthapuram North	Vamanapuram	Vamanapuram	Pullampara Gramapanchayath	13.82%	1941	24.70%	3300	25.70%	4670
Thiruvananthapuram	Thiruvananthapuram North	Vamanapuram	Vamanapuram	Nellanad Gramapanchayath	9.07%	1509	27.70%	4887	28.70%	6336
Palakkad 	Palakkad West	Shornur	Shornur	Shoranur	27.11%	7741	34.30%	8274	39%	13724
Thiruvananthapuram	Thiruvananthapuram North	Varkala	Varkala	Varkala	26.97%	6398	38%	8229	39%	12338
Thiruvananthapuram	Thiruvananthapuram North	Attingal	Attingal	Manampoor Gramapanchayat	25.86%	3787	37.70%	5226	39%	7402
Thiruvananthapuram	Thiruvananthapuram North	Varkala	Varkala	Elakamon	24.20%	3890	31.60%	4713	39%	8036
Thiruvananthapuram	Thiruvananthapuram North	Chirayinkeezhu	Kadakkavoor	Kizhuvilam Gramapanchayat	18.57%	3723	36.10%	6584	39%	9940
Thiruvananthapuram	Thiruvananthapuram North	Chirayinkeezhu	Chirayinkeezhu	Chirayinkeezhu Gramapanchayath	20.77%	3679	32.60%	6147	39%	9049
Thiruvananthapuram	Thiruvananthapuram North	Varkala	Navaikulam	Madavoor Grampanchayat	23.23%	3285	30.90%	NA	39%	6805
Thiruvananthapuram	Thiruvananthapuram North	Varkala	Navaikulam	Navaikulam Gramapanchayath	22.13%	5672	28.10%	6884	39%	12822
Thiruvananthapuram	Thiruvananthapuram North	Attingal	Kilimanoor	Kilimanoor Grama Panchayath	15.43%	2088	35.70%	5420	39%	6477
Thiruvananthapuram	Thiruvananthapuram South	Aruvikkara	Aryanadu	Aryanad	13.01%	2369	26.50%	4301	27.50%	6098
Thiruvananthapuram	Thiruvananthapuram North	Attingal	Kilimanoor	Nagaroor Grampanchayat	23.18%	4134	33.10%	5247	39%	8412
Thiruvananthapuram	Thiruvananthapuram North	Attingal	Kilimanoor	Karavaram Gramapanchayath	29.19%	5588	31.90%	5840	39%	9674
Thiruvananthapuram	Thiruvananthapuram North	Attingal	Kilimanoor	Pulimath Gramapanchayath	20.44%	3980	36.30%	6110	39%	9360
Thiruvananthapuram	Thiruvananthapuram North	Vamanapuram	Palode	Pangode Gramapanchayath	14.65%	2745	28.50%	4568	39%	9062
Thiruvananthapuram	Thiruvananthapuram North	Vamanapuram	Vamanapuram	Kallara Grampanchayat	18.31%	3114	29.10%	NA	39%	8763
Palakkad 	Palakkad West	Pattambi	Pattambi	Vallapuzha Gramapanchayat	10.52%	1900	9.60%	705	25%	5662
Thiruvananthapuram	Thiruvananthapuram North	Chirayinkeezhu	Chirayinkeezhu	Kadinamkulam	6.60%	1820	13.30%	3291	14.30%	4935
Thiruvananthapuram	Thiruvananthapuram North	Nedumangad	Pothencode	Andoorkonam	21.01%	3726	22.30%	3468	23.30%	5449
Thiruvananthapuram	Thiruvananthapuram North	Nedumangad	Pothencode	Manickal Gramapanchayath	17.95%	4491	33%	7778	39%	12314
Thiruvananthapuram	Thiruvananthapuram North	Vamanapuram	Vamanapuram	Vamanapuram Gramapanchayath	21.36%	2967	35.60%	3891	39%	6723
Thiruvananthapuram	Thiruvananthapuram North	Vamanapuram	Vamanapuram	Panavoor Gramapanchayat	19.94%	2732	28.50%	3530	39%	6708
Thiruvananthapuram	Thiruvananthapuram North	Vamanapuram	Palode	Anad	20.96%	4339	32.90%	6192	39%	11010
Thiruvananthapuram	Thiruvananthapuram North	Nedumangad	Pothencode	Vembayam Gramapanchayat	20.65%	5163	29.20%	6922	39%	12679
Thiruvananthapuram	Thiruvananthapuram North	Nedumangad	Nedumangad	Karakulam Gramapanchayath	20.82%	6740	30.20%	9448	39%	17130
Thiruvananthapuram	Thiruvananthapuram South	Aruvikkara	Aryanadu	Tholicode Gramapanchayath	17.73%	2881	26.90%	4420	39%	8150
Thiruvananthapuram	Thiruvananthapuram South	Aruvikkara	Aryanadu	Uzhamalakkal	25.23%	3637	31.70%	4254	39%	6682
Thiruvananthapuram	Thiruvananthapuram South	Aruvikkara	Aruvikkara	Kuttichal Grampanchayat	21.21%	2525	29.60%	3163	39%	5924
Alappuzha	Idukki North	Thodupuzha	Thodupuzha	Purapuzha Gramapanchayath	11.05%	816	NA	NA	25%	2288
Thiruvananthapuram	Thiruvananthapuram South	Kovalam	Balaramapuram	Karumkulam Gramapanchayath	3.10%	570	9.50%	1562	10.50%	2474
Thiruvananthapuram	Thiruvananthapuram South	Aruvikkara	Aruvikkara	Poovachal Gramapanchayath	22.55%	6523	24.60%	6431	39%	13598
Thiruvananthapuram	Thiruvananthapuram South	Aruvikkara	Aruvikkara	Vellanad	19.30%	4063	31.80%	6313	39%	10672
Thiruvananthapuram	Thiruvananthapuram South	Parasala	Vellarada	Amboori	6.79%	766	24.70%	2530	25.70%	3740
Thiruvananthapuram	Thiruvananthapuram North	Chirayinkeezhu	Chirayinkeezhu	Azhoor	21.84%	3806	35.70%	5330	39%	8415
Thiruvananthapuram	Thiruvananthapuram North	Nedumangad	Pothencode	Pothencode Gramapanchayath	26.92%	5625	33.50%	8714	39%	10138
Thiruvananthapuram	Thiruvananthapuram North	Chirayinkeezhu	Chirayinkeezhu	Mangalapuram Gramapanchayath	23.75%	5089	31.60%	3742	39%	10919
Thiruvananthapuram	Thiruvananthapuram South	Kattakkada	Malayinkeezhu	Vilavoorkkal Gramapanchayat	32.07%	6957	36.90%	6963	39%	10843
Thiruvananthapuram	Thiruvananthapuram South	Kattakkada	Kattakkada	Vilappil Gramapanchayat	31.75%	7994	34.70%	7840	39%	12725
Alappuzha	Idukki North	Devikulam	Devikulam	Kanthalloor Gramapanchayath	8.07%	602	11.80%	726	25%	2196
Thiruvananthapuram	Thiruvananthapuram South	Parasala	Vellarada	Vellarada Gramapanchayath	12.43%	3448	25%	5606	26%	8848
Thiruvananthapuram	Thiruvananthapuram South	Kattakkada	Malayinkeezhu	Pallichal Gramapanchayat	24.42%	7377	36.50%	9908	39%	15450
Thiruvananthapuram	Thiruvananthapuram South	Neyyattinkara	Neyyattinkara	Thirupuram Gramapanchayath	12.97%	1662	18.90%	2202	19.90%	3067
Thiruvananthapuram	Thiruvananthapuram South	Neyyattinkara	Kulathoor	Chenkal Gramapanchayat	13.53%	3347	26.80%	6114	27.80%	8626
Thiruvananthapuram	Thiruvananthapuram South	Neyyattinkara	Kulathoor	Kulathoor Grampanchayat	10.41%	2256	18.10%	3446	19.10%	4977
Thiruvananthapuram	Thiruvananthapuram South	Kovalam	Balaramapuram	Balaramapuram Gramapanchayath	28.95%	6719	37.60%	8614	39%	11291
Thiruvananthapuram	Thiruvananthapuram South	Parasala	Parassala	Parassala Gramapanchayath	15.54%	5054	25.80%	8088	26.80%	11614
Ernakulam 	Ernakulam East	Piravom	Piravom	Ramamangalam Gramapanchayath	12.48%	1255	12.20%	670	25%	2979
Thiruvananthapuram	Thiruvananthapuram South	Kattakkada	Kattakkada	Maranalloor Gramapanchayat	30.50%	7436	35.60%	7547	39%	11675
Thiruvananthapuram	Thiruvananthapuram South	Kovalam	Balaramapuram	Kottukal Gramapanchayat	18.22%	4129	35.10%	7220	39%	10319
Thiruvananthapuram	Thiruvananthapuram South	Kovalam	Balaramapuram	Kanjiramkulam Gramapanchayath	9.90%	1269	23.80%	2653	39%	5799
Thiruvananthapuram	Thiruvananthapuram South	Neyyattinkara	Neyyattinkara	Athiyannur, Thiruvananthapuram	28.16%	5138	37.80%	6519	39%	8910
Thiruvananthapuram	Thiruvananthapuram South	Parasala	Vellarada	Kallikkadu Gramapanchayath	25.41%	2504	36.30%	2734	39%	4653
Thiruvananthapuram	Thiruvananthapuram South	Parasala	Vellarada	Ottasekaramangalam Gramapanchayath	25.57%	3337	34%	3921	39%	6339
Thiruvananthapuram	Thiruvananthapuram South	Parasala	Vellarada	Aryancode	27.27%	4599	32.50%	4875	39%	7443
Thiruvananthapuram	Thiruvananthapuram South	Parasala	Parassala	Perumkadavila Gramapanchayath	27.83%	4714	32.80%	6374	39%	7480
Thiruvananthapuram	Thiruvananthapuram South	Parasala	Parassala	Kollayil Gramapanchayath	28.21%	4983	34.10%	4617	39%	8422
Thiruvananthapuram	Thiruvananthapuram South	Kovalam	Balaramapuram	Poovar Grampanchayat	13.17%	1659	22.60%	2551	39%	6299
Thiruvananthapuram	Thiruvananthapuram South	Neyyattinkara	Kulathoor	Karode Gramapanchayath	16.03%	3690	21.40%	4080	39%	11255
Thiruvananthapuram	Kollam West	Chathannoor	Chathannoor	Chirakkara Gramapanchayath	26.50%	4034	29.90%	NA	39%	7376
Thiruvananthapuram	Kollam West	Chathannoor	Chathannoor	Adichanalloor Gramapanchayat	22.36%	4539	20.40%	3848	39%	9951
Thiruvananthapuram	Kollam West	Chathannoor	Chathannoor	Chathanoor Grampanchayat	26.43%	5044	22.90%	6066	39%	9021
Thiruvananthapuram	Kollam East	Punaloor	Punalur	Punalur	7.61%	2363	18.30%	4654	19.30%	7567
Thiruvananthapuram	Kollam West	Chathannoor	Paravur	Kalluvaathukkal Grama Panchayath	32.63%	9757	30.40%	7695	39%	14632
Thiruvananthapuram	Kollam West	Chathannoor	Paravur	Poothakkulam Gramapanchayath	26.86%	4983	28.80%	4600	39%	9107
Kozhikode 	Kannur South	Peravoor	Peravoor	Muzhakkunnu	12.71%	1856	12.60%	1762	25%	3461
Thiruvananthapuram	Kollam East	Chadayamangalam	Chadayamangalam	Chadayamangalam Gramapanchayath	27.65%	3954	21%	2621	39%	7065
Thiruvananthapuram	Kollam West	Kundara	Mukhathala	Kottamkara Grama Panchayat	21.34%	4992	18.90%	4587	39%	11527
Thiruvananthapuram	Kollam West	Kundara	Mukhathala	Thrikkovilvattom Gramapanchayat	21.15%	7555	17.70%	5726	39%	17672
Thiruvananthapuram	Kollam East	Chadayamangalam	Chithara	Kummil Gramapanchayath	7.53%	961	13.60%	1505	14.60%	2294
Alappuzha	Idukki South	Udumbanchola	Vandanmedu	Vandanmedu Gramapanchayat	14.81%	2514	12.80%	1895	25%	4857
Thiruvananthapuram	Kollam East	Chadayamangalam	Chadayamangalam	Nilamel Gramapanchayat	4.27%	446	11.10%	1024	12.10%	1620
Thiruvananthapuram	Kollam East	Chadayamangalam	Chadayamangalam	Elamadu Grama Panchayat	18.91%	3304	16.70%	2623	19.91%	4349
Thiruvananthapuram	Kollam East	Chadayamangalam	Kuravilangadu	Velinalloor Grama Panchayat	18.29%	3364	16.90%	2720	19.29%	4258
Thiruvananthapuram	Kollam West	Kundara	Kundara	Elampalloor Grama Panchayat	28.70%	7192	16.40%	2806	39%	11779
Thiruvananthapuram	Kollam East	Chadayamangalam	Chadayamangalam	Kadakkal Gramapanchayath	13.32%	2597	18.40%	3527	19.40%	4784
Thiruvananthapuram	Kollam East	Chadayamangalam	Chithara	Chithara Gramapanchayath	16.58%	4660	15.20%	3745	17.58%	6706
Thiruvananthapuram	Kollam West	Kundara	Mukhathala	Nedumbana Gramapanchayath	12.25%	3908	13.40%	3748	14.40%	5617
Thiruvananthapuram	Kollam West	Chavara	Panmana	Thekkumbhagam Gramapanchayath	17.29%	2073	17.60%	1686	39%	5137
Thiruvananthapuram	Kollam East	Kunnathur	Sasthamcotta	Munroethuruth Grama Panchayat	20.56%	1416	13.40%	449	39%	3140
Thiruvananthapuram	Kollam West	Kundara	Kundara	Perinad Gramapanchayath	31.58%	7243	21%	4133	39%	10560
Thiruvananthapuram	Kollam West	Chavara	Chavara	Neendakara Gramapanchayat	12.52%	1442	15.70%	1519	16.70%	2280
Thiruvananthapuram	Kollam West	Chavara	Panmana	Panmana Gramapanchayath	8.04%	2616	13.30%	3843	14.30%	5587
Thiruvananthapuram	Kollam West	Chavara	Panmana	Thevalakkara Gramapanchayat	9.15%	2515	13.10%	3369	14.10%	4866
Thiruvananthapuram	Kollam West	Chavara	Chavara	Chavara Gramapanchayath	14.67%	4178	16.30%	3998	17.30%	6054
Thiruvananthapuram	Kollam West	Kollam	Thrikkadavoor	Panayam Gramapanchayath	29.92%	5175	18.90%	2911	39%	8222
Thiruvananthapuram	Kollam East	Kottarakkara	Neduvathur	Neduvathoor Grama Panchayat	31.87%	6040	21.50%	2772	39%	9010
Alappuzha	Idukki South	Udumbanchola	Vandanmedu	Pampadumpara Gramapanchayath	6.42%	832	14.90%	1688	25%	3766
Ernakulam 	Ernakulam North	Perumbavoor	Perumbavoor	Perumbavoor	8.97%	1631	15.20%	2242	25%	5167
Thiruvananthapuram	Kollam West	Kundara	Kundara	Perayam Gramapanchayath	7.62%	842	7.30%	546	8.62%	1285
Thiruvananthapuram	Kollam West	Kundara	Kundara	Kundara Gramapanchayath	9.37%	1028	13.50%	1018	14.50%	1959
Thiruvananthapuram	Kollam East	Kottarakkara	Neduvathur	Kareepra Gramapanchayath	30.00%	5841	16.90%	2854	39%	9072
Thiruvananthapuram	Kollam East	Kottarakkara	Kottarakkara	Veliyam Gramapanchayath	28.76%	5586	15.10%	2707	39%	10485
Palakkad 	Palakkad West	Tarur	Vadakkenchery	Puthukode Gramapanchayath	10.49%	1646	15.30%	2013	25%	4341
Thiruvananthapuram	Kollam East	Punaloor	Punalur	Aryankavu Gramapanchayat	18.97%	1423	18.50%	1098	39%	3981
Alappuzha	Kottayam West	Kaduthuruthy	Kaduthuruthy	Manjoor Gramapanchayath	5.55%	913	15.40%	2158	25%	6058
Thiruvananthapuram	Kollam East	Kottarakkara	Neduvathur	Ezhukone Gramapanchayath	12.88%	2009	14.60%	1894	15.60%	2933
Thiruvananthapuram	Kollam East	Punaloor	Anchal	Anchal Gramapanchayath	26.20%	5559	22.70%	4157	39%	10589
Thiruvananthapuram	Kollam West	Chathannoor	Chathannoor	Pooyappally Grama Panchayath	11.57%	1820	16.40%	2191	17.40%	3456
Thiruvananthapuram	Kollam East	Punaloor	Anchal	Yeroor Gramapanchayath	18.10%	4139	18%	3525	39%	10974
Thiruvananthapuram	Kollam East	Pathanapuram	Pathanapuram	Pattazhi Gramapanchayath	24.26%	2907	18.80%	1839	39%	5701
Thiruvananthapuram	Kollam East	Punaloor	Punalur	Thenmala Gramapanchayath	9.64%	1414	17.90%	2207	18.90%	3619
Ernakulam 	Ernakulam North	Kalamassery	Kalamassery	Eloor	9.86%	2162	15.40%	3124	25%	6582
Thiruvananthapuram	Kollam East	Punaloor	Punalur	Karavaloor Gramapanchayath	9.53%	1454	19.40%	2492	20.40%	3853
Thiruvananthapuram	Kollam East	Punaloor	Anchal	Edamulakkal Gramapanchayath	18.13%	4601	16.20%	3518	19.13%	6164
Thiruvananthapuram	Kollam East	Pathanapuram	Pathanapuram	Pattazhi Vadakkekara Gramapanchayath	26.33%	2718	18.60%	1582	39%	4916
Thiruvananthapuram	Kollam East	Chadayamangalam	Chithara	Alayaman Gramapanchayath	15.27%	1914	16.80%	1807	17.80%	2990
Thiruvananthapuram	Kollam East	Kunnathur	Kunnathur	Pavithreswaram Gramapanchayath	24.44%	4998	17.50%	3110	39%	9775
Thiruvananthapuram	Kollam East	Punaloor	Anchal	Kulathupuzha Gramapanchayath	10.20%	2066	16.50%	2967	17.50%	4756
Ernakulam 	Ernakulam City	Vypen	Cherayi	Pallippuram Gramapanchayath	16.06%	4526	15.20%	4102	25%	8318
Thiruvananthapuram	Kollam East	Pathanapuram	Pathanapuram	Pathanapuram Gramapanchayath	10.36%	2005	8.10%	1379	11.36%	2954
Kozhikode 	Kannur South	Kuthuparamba	Kuthuparamba	Mokeri	16.06%	2131	12.10%	1659	25%	4014
Thiruvananthapuram	Kollam East	Kottarakkara	Neduvathur	Kulakkada Gramapanchayath	24.78%	5373	14.80%	4160	39%	10198
Thiruvananthapuram	Kollam East	Kottarakkara	Kottarakkara	Mylom Gramapanchayath	26.67%	5932	17.30%	1877	39%	10620
Thiruvananthapuram	Kollam East	Pathanapuram	Kunnikkodu	Vilakkudy Grama Panchayat	7.74%	1664	11.90%	2026	12.90%	3742
Thiruvananthapuram	Kollam East	Kunnathur	Kunnathur	Kunnathoor Gramapanchayat	28.55%	4859	17.70%	2529	39%	7928
Thiruvananthapuram	Kollam East	Kunnathur	Kunnathur	Poruvazhi Gramapanchayath	24.08%	4720	15.20%	2329	39%	9103
Thiruvananthapuram	Kollam East	Kunnathur	Kunnathur	Sooranad South Grama Panchayat	19.49%	3292	16%	2395	39%	7253
Thiruvananthapuram	Kollam East	Pathanapuram	Kunnikkodu	Vettikavala Gramapanchayath	19.99%	4802	14.60%	2949	20.99%	6635
Thiruvananthapuram	Kollam East	Kunnathur	Sasthamcotta	Mynagappally Grama Panchayat	14.57%	4049	14.80%	2939	15.80%	5336
Thiruvananthapuram	Kollam East	Kunnathur	Kunnathur	Sooranad North Grama Panchayat	14.58%	2957	16.10%	2571	17.10%	4088
Thiruvananthapuram	Kollam West	Karunagappally	Karunagappally	Alappad Grama Panchayat	16.07%	2494	30.70%	4448	39%	6344
Thiruvananthapuram	Kollam West	Karunagappally	Karunagappally	Clappana Gramapanchayat	16.98%	2695	30.50%	4169	39%	7429
Thiruvananthapuram	Kollam West	Karunagappally	Oachira	Thazhava Grama Panchayat	27.95%	7780	34.30%	8274	39%	13067
Thiruvananthapuram	Kollam East	Kunnathur	Sasthamcotta	West Kallada Gramapanchayat	19.56%	2452	13.70%	1421	20.56%	3076
Thiruvananthapuram	Kollam West	Karunagappally	Oachira	Thodiyoor Grama Panchayat	19.08%	6201	28%	8039	29%	11210
Thiruvananthapuram	Kollam West	Karunagappally	Oachira	Oachira Gramapanchayath	21.28%	4060	35.10%	5922	39%	8804
Thiruvananthapuram	Pathanamthitta	Adoor	Pandalam	Pandalam	30.55%	8250	31.40%	7295	39%	13051
Thiruvananthapuram	Pathanamthitta	Konni	Konni	Kalanjoor Gramapanchayath	24.86%	5158	28.50%	5120	39%	10957
Thiruvananthapuram	Pathanamthitta	Adoor	Adoor	Ezhamkulam Gramapanchayath	13.84%	2860	24.60%	4419	39%	10797
Thiruvananthapuram	Pathanamthitta	Adoor	Adoor	Earathu Gramapanchayath	20.66%	3343	28.60%	3872	39%	7769
Thiruvananthapuram	Pathanamthitta	Aranmula	Pathanamthitta	Pathanamthitta	9.79%	2415	22.20%	4102	23.20%	7370
Thiruvananthapuram	Pathanamthitta	Aranmula	Aranmula	Aranmula	25.66%	4659	32.10%	5137	39%	9298
Thiruvananthapuram	Pathanamthitta	Adoor	Pandalam	Pallikkal Grampanchayat	13.70%	3717	28.90%	6681	29.90%	10693
Thiruvananthapuram	Pathanamthitta	Adoor	Pandalam	Kodumon Gramapanchayath	7.90%	1383	25.20%	4053	26.20%	5959
Thiruvananthapuram	Pathanamthitta	Aranmula	Pathanamthitta	Kulanada Gramapanchayath	31.01%	4643	31.40%	4091	39%	7754
Thiruvananthapuram	Pathanamthitta	Adoor	Adoor	Kadambanad Gramapanchayath	14.69%	2589	23.10%	3628	24.10%	5163
Thiruvananthapuram	Pathanamthitta	Adoor	Pandalam	Panthalam Thekkekkara Grampanchayat	34.04%	4299	34.80%	3867	39%	5790
Thiruvananthapuram	Pathanamthitta	Konni	Chittar	Malayalapuzha Gramapanchayath	26.10%	2866	32.40%	3261	39%	5620
Thiruvananthapuram	Pathanamthitta	Konni	Konni	Enadimangalam	24.11%	3317	27.40%	3244	28.40%	5092
Thiruvananthapuram	Pathanamthitta	Aranmula	Pathanamthitta	Mezhuvely Gramapanchayath	11.71%	1106	21.70%	1854	22.70%	2876
Thiruvananthapuram	Pathanamthitta	Konni	Konni	Vallikkodu Gramapanchayath	20.02%	2743	30.40%	3627	39%	6891
Thiruvananthapuram	Pathanamthitta	Konni	Chittar	Mylapra Gramapanchayath	16.40%	1040	25.60%	1406	39%	3358
Thiruvananthapuram	Pathanamthitta	Adoor	Pandalam	Thumpamon Grampanchayat	12.12%	588	18.50%	808	19.50%	1224
Thiruvananthapuram	Pathanamthitta	Ranni	Ranni	Vadasserikkara Gramapanchayath	17.86%	2394	26%	3021	39%	6798
Thiruvananthapuram	Pathanamthitta	Ranni	Ranni	Ranni Perunadu Grama Panchayat	25.78%	3500	31.50%	3563	39%	6329
Thiruvananthapuram	Pathanamthitta	Konni	Chittar	Thannithodu Gramapanchayath	13.33%	1214	21.40%	1654	22.40%	2542
Thiruvananthapuram	Pathanamthitta	Aranmula	Aranmula	Naranganam Gramapanchayath	17.80%	1906	31.90%	2868	39%	5629
Thiruvananthapuram	Pathanamthitta	Aranmula	Aranmula	Mallappuzhassery Gramapanchayath	17.59%	1273	27.30%	1747	39%	3646
Thiruvananthapuram	Pathanamthitta	Konni	Konni	Pramadam Gramapanchayath	19.52%	4054	29.10%	4917	30.10%	8123
Thiruvananthapuram	Pathanamthitta	Konni	Konni	Aruvappulam	11.33%	1483	26.20%	2820	27.20%	4365
Thiruvananthapuram	Pathanamthitta	Konni	Konni	Konni	17.03%	2992	24.70%	4346	25.70%	5977
