Zone,Org_District,AC_Name,Mandal_Name,Panchayat_Total,Panchayat_Target_Win,Panchayat_Target_Opposition,Municipality_Total,Municipality_Target_Win,Municipality_Target_Opposition,Corporation_Total,Corporation_Target_Win,Corporation_Target_Opposition
Alappuzha,Idukki North,Thodupuzha,Thodupuzha,5,2,1,1,1,0,0,0,0
Alappuzha,Idukki North,Thodupuzha,Vannappuram,7,0,1,0,0,0,0,0,0
Alappuzha,Idukki South,Idukki,Idukki,6,1,0,0,0,0,0,0,0
Alappuzha,Idukki South,Idukki,Kattappana,3,0,0,1,0,0,0,0,0
Alappuzha,Idukki South,Peerumade,Elappara,5,2,0,0,0,0,0,0,0
Alappuzha,Idukki South,Peerumade,Peermade,4,0,1,0,0,0,0,0,0
Alappuzha,Idukki South,Udumbanchola,Udumbanchola,6,0,0,0,0,0,0,0,0
Alappuzha,Idukki South,Udumbanchola,Vandanmedu,4,0,3,0,0,0,0,0,0
Alappuzha,Kottayam East,Changanassery,Changanassery,2,1,0,1,1,0,0,0,0
Alappuzha,Kottayam East,Changanassery,Madappally,3,2,0,0,0,0,0,0,0
Alappuzha,Kottayam East,Kanjirappally,Kanjirappally,4,2,0,0,0,0,0,0,0
Alappuzha,Kottayam East,Kanjirappally,Vazhoor,5,2,1,0,0,0,0,0,0
Alappuzha,Kottayam East,Poonjar,Mundakkayam,5,2,0,0,0,0,0,0,0
Alappuzha,Kottayam East,Poonjar,Poonjar,4,4,0,1,0,0,0,0,0
Alappuzha,Kottayam East,Puthuppally,Ayarkunnam,4,2,0,0,0,0,0,0,0
Alappuzha,Kottayam East,Puthuppally,Puthuppally,4,0,0,0,0,0,0,0,0
Alappuzha,Kottayam West,Ettumanoor,Ettumanoor,2,0,0,1,0,1,0,0,0
Alappuzha,Kottayam West,Ettumanoor,Kumarakom,4,1,1,0,0,0,0,0,0
Alappuzha,Kottayam West,Kaduthuruthy,Kaduthuruthy,5,1,1,0,0,0,0,0,0
Alappuzha,Kottayam West,Kaduthuruthy,Kuravilangadu,6,0,1,0,0,0,0,0,0
Alappuzha,Kottayam West,Kottayam,Kottayam,0,0,0,1,1,0,0,0,0
Alappuzha,Kottayam West,Kottayam,Panachikadu,2,1,0,0,0,0,0,0,0
Alappuzha,Kottayam West,Pala,Bharananganam,7,3,0,0,0,0,0,0,0
Alappuzha,Kottayam West,Pala,Pala,5,2,1,1,0,0,0,0,0
Alappuzha,Kottayam West,Vaikom,Thalayolaparambu,5,0,0,0,0,0,0,0,0
Alappuzha,Kottayam West,Vaikom,Vaikom,4,1,2,1,1,0,0,0,0
Ernakulam,Ernakulam City,Eranakulam,Ernakulam North,1,0,0,0,0,0,0,0,0
Ernakulam,Ernakulam City,Kochi,Kochi,2,0,0,0,0,0,0,0,0
Ernakulam,Ernakulam City,Kochi,Mattancherry,0,0,0,0,0,0,1,0,0
Ernakulam,Ernakulam City,Thrikkakara,Thrikkakara,0,0,0,1,0,0,0,0,0
Ernakulam,Ernakulam City,Thripunithura,Palluruthy,1,1,0,1,0,0,0,0,0
Ernakulam,Ernakulam City,Thripunithura,Thrippunithura,1,0,0,1,1,0,0,0,0
Ernakulam,Ernakulam City,Vypen,Cherayi,4,2,1,0,0,0,0,0,0
Ernakulam,Ernakulam City,Vypen,Vypin,4,1,0,0,0,0,0,0,0
Ernakulam,Ernakulam East,Kothamangalam,Kavalangad,5,0,0,0,0,0,0,0,0
Ernakulam,Ernakulam East,Kothamangalam,Kothamangalam,3,0,0,1,0,0,0,0,0
Ernakulam,Ernakulam East,Kunnathunad,Kolenchery,4,0,0,0,0,0,0,0,0
Ernakulam,Ernakulam East,Kunnathunad,Kunnathunadu,4,0,0,0,0,0,0,0,0
Ernakulam,Ernakulam East,Muvattupuzha,Muvattupuzha,5,0,0,1,0,0,0,0,0
Ernakulam,Ernakulam East,Muvattupuzha,Vazhakkulam,6,0,0,0,0,0,0,0,0
Ernakulam,Ernakulam East,Piravom,Chottanikara,5,0,0,0,0,0,0,0,0
Ernakulam,Ernakulam East,Piravom,Piravom,4,0,1,2,0,0,0,0,0
Ernakulam,Ernakulam North,Aluva,Aluva,3,0,0,1,1,0,0,0,0
Ernakulam,Ernakulam North,Aluva,Nedumbassery,4,1,0,0,0,0,0,0,0
Ernakulam,Ernakulam North,Angamaly,Angamaly,3,0,0,1,0,0,0,0,0
Ernakulam,Ernakulam North,Angamaly,Aroor,1,0,0,0,0,0,0,0,0
Ernakulam,Ernakulam North,Angamaly,Kalady,4,0,0,0,0,0,0,0,0
Ernakulam,Ernakulam North,Kalamassery,Kalamassery,1,1,0,2,0,1,0,0,0
Ernakulam,Ernakulam North,Kalamassery,Karumalloor,3,1,0,0,0,0,0,0,0
Ernakulam,Ernakulam North,Paravur,Paravoor,0,0,0,1,0,1,0,0,0
Ernakulam,Ernakulam North,Paravur,Paravur,3,0,0,0,0,0,0,0,0
Ernakulam,Ernakulam North,Paravur,Vadakkekara,4,0,0,0,0,0,0,0,0
Ernakulam,Ernakulam North,Perumbavoor,Kuruppampady,4,0,1,0,0,0,0,0,0
Ernakulam,Ernakulam North,Perumbavoor,Perumbavoor,3,0,0,1,0,1,0,0,0
Ernakulam,Thrissur City,Manalur,Manalur,6,4,0,0,0,0,0,0,0
Ernakulam,Thrissur City,Manalur,Pavaratty,3,0,0,0,0,0,0,0,0
Ernakulam,Thrissur City,Nattika,Cherpu,5,5,0,0,0,0,0,0,0
Ernakulam,Thrissur City,Nattika,Nattika,4,3,0,0,0,0,0,0,0
Ernakulam,Thrissur City,Ollur,Ollur,1,0,0,0,0,0,0,0,0
Ernakulam,Thrissur City,Ollur,Peechi,3,2,0,0,0,0,0,0,0
Ernakulam,Thrissur City,Puthukkad,Amballur,4,2,0,0,0,0,0,0,0
Ernakulam,Thrissur City,Puthukkad,Puthukkad,4,3,0,0,0,0,0,0,0
Ernakulam,Thrissur City,Thrissur,Thrissur west,0,0,0,0,0,0,1,1,0
Ernakulam,Thrissur North,Chelakkara,Chelakkara,4,3,0,0,0,0,0,0,0
Ernakulam,Thrissur North,Chelakkara,Cheruthuruthy,5,0,0,0,0,0,0,0,0
Ernakulam,Thrissur North,Guruvayoor,Chavakkad,3,0,0,1,0,0,0,0,0
Ernakulam,Thrissur North,Guruvayoor,Guruvayoor,3,1,0,1,1,0,0,0,0
Ernakulam,Thrissur North,Kunnamkulam,Erumapetty,4,0,0,0,0,0,0,0,0
Ernakulam,Thrissur North,Kunnamkulam,Kunnamkulam,3,2,0,1,1,0,0,0,0
Ernakulam,Thrissur North,Wadakkanchery,Kaipparambu,4,1,0,0,0,0,0,0,0
Ernakulam,Thrissur North,Wadakkanchery,Wadakkanchery,3,0,0,1,0,0,0,0,0
Ernakulam,Thrissur South,Chalakudy,Chalakudy,2,1,0,1,0,0,0,0,0
Ernakulam,Thrissur South,Chalakudy,Koratty,5,2,0,0,0,0,0,0,0
Ernakulam,Thrissur South,Irinjalakuda,Aloor,4,2,0,0,0,0,0,0,0
Ernakulam,Thrissur South,Irinjalakuda,Irinjalakuda,3,2,0,1,1,0,0,0,0
Ernakulam,Thrissur South,Kaipamangalam,Edavilangu,3,2,0,0,0,0,0,0,0
Ernakulam,Thrissur South,Kaipamangalam,Kaipamangalam,4,1,0,0,0,0,0,0,0
Ernakulam,Thrissur South,Kodungallur,Kodungallur,2,0,0,1,1,0,0,0,0
Ernakulam,Thrissur South,Kodungallur,Mala,4,2,0,0,0,0,0,0,0
Kozhikode,Kannur North,Azhikode,Azhikode,1,0,0,0,0,0,1,0,0
Kozhikode,Kannur North,Azhikode,Chirakkal,4,0,0,0,0,0,0,0,0
Kozhikode,Kannur North,Irikkur,Alakkode,4,0,0,0,0,0,0,0,0
Kozhikode,Kannur North,Irikkur,Irikkur,4,0,0,1,0,0,0,0,0
Kozhikode,Kannur North,Kalliasseri,Kalliassery,5,0,0,0,0,0,0,0,0
Kozhikode,Kannur North,Kalliasseri,Madayi,5,0,0,0,0,0,0,0,0
Kozhikode,Kannur North,Kannur,Edakkad,1,0,0,0,0,0,0,0,0
Kozhikode,Kannur North,Payyannur,Payyannur,2,0,0,1,0,0,0,0,0
Kozhikode,Kannur North,Payyannur,Peringome,4,0,0,0,0,0,0,0,0
Kozhikode,Kannur North,Thaliparambu,Mayyil,4,0,0,1,0,0,0,0,0
Kozhikode,Kannur North,Thaliparambu,Thaliparambu,3,0,0,1,0,0,0,0,0
Kozhikode,Kannur South,Dharmadam,Chakkarakkal,4,0,0,0,0,0,0,0,0
Kozhikode,Kannur South,Dharmadam,Dharmadom,4,0,1,0,0,0,0,0,0
Kozhikode,Kannur South,Kuthuparamba,Kuthuparamba,3,0,1,1,0,0,0,0,0
Kozhikode,Kannur South,Kuthuparamba,Panoor,2,1,0,1,0,0,0,0,0
Kozhikode,Kannur South,Mattannur,Chittariparamba,4,0,0,0,0,0,0,0,0
Kozhikode,Kannur South,Mattannur,Mattannur,4,0,0,0,0,0,0,0,0
Kozhikode,Kannur South,Peravoor,Iritty,3,0,0,1,0,1,0,0,0
Kozhikode,Kannur South,Peravoor,Peravoor,5,0,1,0,0,0,0,0,0
Kozhikode,Kannur South,Thalassery,Kathiroor,4,0,0,0,0,0,0,0,0
Kozhikode,Kannur South,Thalassery,Thalassery,1,0,0,1,1,0,0,0,0
Kozhikode,Kasaragod,Kanhangad,Kanhangad,2,0,0,1,0,0,0,0,0
Kozhikode,Kasaragod,Kanhangad,Vellarikundu,5,0,0,0,0,0,0,0,0
Kozhikode,Kasaragod,Kasargod,Badiadka,5,4,0,0,0,0,0,0,0
Kozhikode,Kasaragod,Kasargod,Kasaragod,2,2,0,1,0,1,0,0,0
Kozhikode,Kasaragod,Manjeshwaram,Kumbla,4,3,0,0,0,0,0,0,0
Kozhikode,Kasaragod,Manjeshwaram,Manjeshwar,4,4,0,0,0,0,0,0,0
Kozhikode,Kasaragod,Thrikaripur,Nileshwaram,4,0,0,1,0,0,0,0,0
Kozhikode,Kasaragod,Thrikaripur,Trikaripur,4,0,0,0,0,0,0,0,0
Kozhikode,Kasaragod,Udma,Muliyar,4,1,0,0,0,0,0,0,0
Kozhikode,Kasaragod,Udma,Udma,4,0,1,0,0,0,0,0,0
Kozhikode,Kozhikode City,Beypore,Ramanattukara,1,0,0,2,0,0,0,0,0
Kozhikode,Kozhikode City,Elathur,Elathur,0,0,0,0,0,0,1,0,0
Kozhikode,Kozhikode City,Kunnamangalam,Edarikkodu,1,0,0,0,0,0,0,0,0
Kozhikode,Kozhikode City,Kunnamangalam,Kunnamangalam,3,1,0,0,0,0,0,0,0
Kozhikode,Kozhikode City,Kunnamangalam,Olavanna,2,0,0,0,0,0,0,0,0
Kozhikode,Kozhikode North,Koyilandy,Koyilandy,2,1,0,1,0,0,0,0,0
Kozhikode,Kozhikode North,Koyilandy,Payyoli,2,0,0,1,0,0,0,0,0
Kozhikode,Kozhikode North,Kuttiady,Kuttiady,4,0,0,0,0,0,0,0,0
Kozhikode,Kozhikode North,Kuttiady,Villiappally,4,0,0,0,0,0,0,0,0
Kozhikode,Kozhikode North,Nadapuram,Nadapuram,5,0,0,0,0,0,0,0,0
Kozhikode,Kozhikode North,Nadapuram,Naripatta,5,0,0,0,0,0,0,0,0
Kozhikode,Kozhikode North,Perambra,Meppayur,5,0,0,0,0,0,0,0,0
Kozhikode,Kozhikode North,Perambra,Perambra,5,0,0,0,0,0,0,0,0
Kozhikode,Kozhikode North,Vatakara,Onchiyam,3,0,0,0,0,0,0,0,0
Kozhikode,Kozhikode North,Vatakara,Vadakara,1,0,0,1,0,0,0,0,0
Kozhikode,Kozhikode Rural,Balussery,Balussery,4,0,0,0,0,0,0,0,0
Kozhikode,Kozhikode Rural,Balussery,Ulliyeri,5,0,0,0,0,0,0,0,0
Kozhikode,Kozhikode Rural,Elathur,Chelannur,4,2,0,0,0,0,0,0,0
Kozhikode,Kozhikode Rural,Elathur,Elathur,2,0,0,0,0,0,0,0,0
Kozhikode,Kozhikode Rural,Koduvally,Koduvally,1,0,0,1,0,0,0,0,0
Kozhikode,Kozhikode Rural,Koduvally,Navaikulam,1,0,0,0,0,0,0,0,0
Kozhikode,Kozhikode Rural,Koduvally,Thamarassery,4,0,0,0,0,0,0,0,0
Kozhikode,Kozhikode Rural,Thiruvambady,Mukkam,3,0,0,1,0,0,0,0,0
Kozhikode,Kozhikode Rural,Thiruvambady,Thiruvambady,3,0,0,0,0,0,0,0,0
Palakkad,Malappuram Central,Kondotty,Kondotty,2,0,0,1,0,0,0,0,0
Palakkad,Malappuram Central,Kondotty,Vazhakkad,4,0,1,0,0,0,0,0,0
Palakkad,Malappuram Central,Kottakkal,Kottakkal,2,0,0,1,0,0,0,0,0
Palakkad,Malappuram Central,Kottakkal,Kuttippuram,3,0,0,1,0,0,0,0,0
Palakkad,Malappuram Central,Malappuram,Malappuram,2,0,0,1,0,0,0,0,0
Palakkad,Malappuram Central,Malappuram,Pookkottur,3,0,0,0,0,0,0,0,0
Palakkad,Malappuram Central,Mankada,Kolathur,3,0,0,0,0,0,0,0,0
Palakkad,Malappuram Central,Mankada,Mankada,4,0,0,0,0,0,0,0,0
Palakkad,Malappuram Central,Vengara,Parappur,3,0,0,0,0,0,0,0,0
Palakkad,Malappuram Central,Vengara,Vengara,3,0,0,0,0,0,0,0,0
Palakkad,Malappuram East,Ernaad,Edavanna,3,0,0,0,0,0,0,0,0
Palakkad,Malappuram East,Ernaad,Eranad,4,0,0,0,0,0,0,0,0
Palakkad,Malappuram East,Manjeri,Manjeri,1,0,0,1,0,0,0,0,0
Palakkad,Malappuram East,Manjeri,Pandikkad,3,0,0,0,0,0,0,0,0
Palakkad,Malappuram East,Nilambur,Edakkara,4,0,0,0,0,0,0,0,0
Palakkad,Malappuram East,Nilambur,Nilambur,3,0,0,1,0,0,0,0,0
Palakkad,Malappuram East,Perinthalamanna,Elamkulam,3,0,0,0,0,0,0,0,0
Palakkad,Malappuram East,Perinthalamanna,Perinthalmanna,3,0,0,1,0,0,0,0,0
Palakkad,Malappuram East,Wandoor,Kalikkavu,4,0,0,0,0,0,0,0,0
Palakkad,Malappuram East,Wandoor,Wandoor,4,0,0,0,0,0,0,0,0
Palakkad,Malappuram West,Ponnani,Changaramkulam,4,0,0,0,0,0,0,0,0
Palakkad,Malappuram West,Ponnani,Ponnani,1,0,0,1,0,0,0,0,0
Palakkad,Malappuram West,Tanur,Ponmundam,3,0,0,0,0,0,0,0,0
Palakkad,Malappuram West,Tanur,Tanur,2,0,0,1,1,0,0,0,0
Palakkad,Malappuram West,Thavanur,Thavanur,4,1,0,0,0,0,0,0,0
Palakkad,Malappuram West,Thavanur,Thrippangodu,3,0,0,0,0,0,0,0,0
Palakkad,Malappuram West,Thirurangadi,Edarikkodu,4,0,0,0,0,0,0,0,0
Palakkad,Malappuram West,Thirurangadi,Tirurangadi,0,0,0,2,0,0,0,0,0
Palakkad,Malappuram West,Tirur,Thirunavaya,4,0,0,0,0,0,0,0,0
Palakkad,Malappuram West,Tirur,Tirur,2,0,0,1,0,0,0,0,0
Palakkad,Malappuram West,Vallikkunnu,Pallikkal,3,2,0,0,0,0,0,0,0
Palakkad,Malappuram West,Vallikkunnu,Vallikkunnu,3,1,0,0,0,0,0,0,0
Palakkad,Palakkad East,Alathur,Alathur,4,1,0,0,0,0,0,0,0
Palakkad,Palakkad East,Alathur,Vandazhi,3,0,1,0,0,0,0,0,0
Palakkad,Palakkad East,Chittur,Chittoor,4,0,0,1,0,0,0,0,0
Palakkad,Palakkad East,Chittur,Kozhinjampara,4,0,1,0,0,0,0,0,0
Palakkad,Palakkad East,Kongad,Karimba,4,1,0,0,0,0,0,0,0
Palakkad,Palakkad East,Kongad,Kongad,5,2,0,0,0,0,0,0,0
Palakkad,Palakkad East,Malampuzha,Malampuzha,4,4,0,0,0,0,0,0,0
Palakkad,Palakkad East,Malampuzha,Puthussery,4,2,1,0,0,0,0,0,0
Palakkad,Palakkad East,Nenmara,Kollengode,5,2,1,0,0,0,0,0,0
Palakkad,Palakkad East,Nenmara,Nenmara,5,1,1,0,0,0,0,0,0
Palakkad,Palakkad East,Palakkad,Palakkad,0,0,0,1,1,0,0,0,0
Palakkad,Palakkad East,Palakkad,Pirayiri,3,0,1,0,0,0,0,0,0
Palakkad,Palakkad West,Mannarkad,Attappady,3,2,0,0,0,0,0,0,0
Palakkad,Palakkad West,Mannarkad,Mannarkkad,4,0,1,1,0,0,0,0,0
Palakkad,Palakkad West,Ottapalam,Ottapalam,2,2,0,1,1,0,0,0,0
Palakkad,Palakkad West,Ottapalam,Sreekrishnapuram,5,0,1,0,0,0,0,0,0
Palakkad,Palakkad West,Pattambi,Koppam,4,0,0,0,0,0,0,0,0
Palakkad,Palakkad West,Pattambi,Pattambi,3,0,2,1,0,0,0,0,0
Palakkad,Palakkad West,Shornur,Cherpulassery,3,0,1,1,0,0,0,0,0
Palakkad,Palakkad West,Shornur,Shornur,3,1,1,1,1,0,0,0,0
Palakkad,Palakkad West,Tarur,Tharur,4,0,1,0,0,0,0,0,0
Palakkad,Palakkad West,Tarur,Vadakkenchery,4,0,1,0,0,0,0,0,0
Palakkad,Palakkad West,Thrithala,Kappur,4,0,0,0,0,0,0,0,0
Palakkad,Palakkad West,Thrithala,Thrithala,4,1,1,0,0,0,0,0,0
Palakkad,Wayanad,Kalpetta,Kalpetta,4,0,0,1,0,0,0,0,0
Palakkad,Wayanad,Kalpetta,Padinjarathara,6,1,1,0,0,0,0,0,0
Palakkad,Wayanad,Mananthavady,Mananthavady,2,0,0,1,0,0,0,0,0
Palakkad,Wayanad,Mananthavady,Panamaram,4,0,1,0,0,0,0,0,0
Palakkad,Wayanad,Sulthanbathery,Pulpally,4,1,1,0,0,0,0,0,0
Palakkad,Wayanad,Sulthanbathery,Sulthan Bathery,3,1,1,1,0,0,0,0,0
Thiruvananthapuram,Kollam East,Chadayamangalam,Chadayamangalam,4,1,0,0,0,0,0,0,0
Thiruvananthapuram,Kollam East,Chadayamangalam,Chithara,4,0,1,0,0,0,0,0,0
Thiruvananthapuram,Kollam East,Chadayamangalam,Kuravilangadu,1,0,0,0,0,0,0,0,0
Thiruvananthapuram,Kollam East,Kottarakkara,Kottarakkara,3,2,1,1,1,0,0,0,0
Thiruvananthapuram,Kollam East,Kottarakkara,Neduvathur,4,3,0,0,0,0,0,0,0
Thiruvananthapuram,Kollam East,Kunnathur,Kunnathur,5,4,0,0,0,0,0,0,0
Thiruvananthapuram,Kollam East,Kunnathur,Sasthamcotta,5,1,2,0,0,0,0,0,0
Thiruvananthapuram,Kollam East,Pathanapuram,Kunnikkodu,4,0,2,0,0,0,0,0,0
Thiruvananthapuram,Kollam East,Pathanapuram,Pathanapuram,4,2,1,0,0,0,0,0,0
Thiruvananthapuram,Kollam East,Punaloor,Anchal,4,2,0,0,0,0,0,0,0
Thiruvananthapuram,Kollam East,Punaloor,Punalur,3,1,0,1,0,0,0,0,0
Thiruvananthapuram,Kollam West,Chathannoor,Chathannoor,4,3,0,0,0,0,0,0,0
Thiruvananthapuram,Kollam West,Chathannoor,Paravoor,2,2,0,0,0,0,0,0,0
Thiruvananthapuram,Kollam West,Chathannoor,Paravur,0,0,0,1,0,1,0,0,0
Thiruvananthapuram,Kollam West,Chavara,Chavara,2,0,0,0,0,0,1,0,1
Thiruvananthapuram,Kollam West,Chavara,Panmana,3,1,0,0,0,0,0,0,0
Thiruvananthapuram,Kollam West,Eravipuram,Eravipuram,1,0,1,0,0,0,0,0,0
Thiruvananthapuram,Kollam West,Karunagappally,Karunagappally,3,2,1,1,1,0,0,0,0
Thiruvananthapuram,Kollam West,Karunagappally,Oachira,3,2,0,0,0,0,0,0,0
Thiruvananthapuram,Kollam West,Kollam,Thrikkadavoor,2,1,1,0,0,0,0,0,0
Thiruvananthapuram,Kollam West,Kundara,Kundara,4,2,0,0,0,0,0,0,0
Thiruvananthapuram,Kollam West,Kundara,Mukhathala,3,2,0,0,0,0,0,0,0
Thiruvananthapuram,Pathanamthitta,Adoor,Adoor,3,2,0,1,1,0,0,0,0
Thiruvananthapuram,Pathanamthitta,Adoor,Pandalam,4,1,0,1,1,0,0,0,0
Thiruvananthapuram,Pathanamthitta,Aranmula,Aranmula,7,6,1,0,0,0,0,0,0
Thiruvananthapuram,Pathanamthitta,Aranmula,Pathanamthitta,5,3,0,1,0,0,0,0,0
Thiruvananthapuram,Pathanamthitta,Konni,Chittar,5,2,1,0,0,0,0,0,0
Thiruvananthapuram,Pathanamthitta,Konni,Konni,6,2,0,0,0,0,0,0,0
Thiruvananthapuram,Pathanamthitta,Ranni,Ayiroor,6,5,0,0,0,0,0,0,0
Thiruvananthapuram,Pathanamthitta,Ranni,Ranni,6,2,0,0,0,0,0,0,0
Thiruvananthapuram,Pathanamthitta,Thiruvalla,Mallappally,6,3,1,0,0,0,0,0,0
Thiruvananthapuram,Pathanamthitta,Thiruvalla,Thiruvalla,5,3,0,1,0,1,0,0,0
Thiruvananthapuram,Thiruvananthapuram City,Kazhakkoottam,Kazhakkoottam,0,0,0,0,0,0,1,1,0
Thiruvananthapuram,Thiruvananthapuram North,Attingal,Attingal,4,3,0,1,1,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram North,Attingal,Kilimanoor,5,4,0,0,0,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram North,Chirayinkeezhu,Chirayinkeezhu,4,3,0,0,0,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram North,Chirayinkeezhu,Kadakkavoor,4,2,0,0,0,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram North,Nedumangad,Nedumangad,1,1,0,1,1,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram North,Nedumangad,Pothencode,4,3,0,0,0,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram North,Vamanapuram,Palode,4,2,0,0,0,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram North,Vamanapuram,Vamanapuram,5,3,0,0,0,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram North,Varkala,Navaikulam,4,3,0,0,0,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram North,Varkala,Varkala,3,1,0,1,1,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram South,Aruvikkara,Aruvikkara,4,3,1,0,0,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram South,Aruvikkara,Aryanadu,4,2,1,0,0,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram South,Kattakkada,Kattakkada,3,2,1,0,0,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram South,Kattakkada,Malayinkeezhu,3,3,0,0,0,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram South,Kovalam,Balaramapuram,5,4,0,0,0,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram South,Kovalam,Kovalam,2,2,0,0,0,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram South,Neyyattinkara,Kulathoor,3,1,0,0,0,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram South,Neyyattinkara,Neyyattinkara,2,1,0,1,1,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram South,Parasala,Parassala,4,2,1,0,0,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram South,Parasala,Vellarada,5,3,0,0,0,0,0,0,0



